"Date","Price","Open","High","Low","Vol.","Change %"
"24-07-2025","1.1755","1.1772","1.1790","1.1730","","-0.14%"
"23-07-2025","1.1772","1.1754","1.1776","1.1710","","0.14%"
"22-07-2025","1.1755","1.1696","1.1761","1.1679","","0.50%"
"21-07-2025","1.1696","1.1627","1.1718","1.1614","","0.60%"
"18-07-2025","1.1626","1.1595","1.1673","1.1591","","0.26%"
"17-07-2025","1.1596","1.1641","1.1644","1.1557","","-0.34%"
"16-07-2025","1.1635","1.1600","1.1722","1.1562","","0.29%"
"15-07-2025","1.1601","1.1667","1.1694","1.1592","","-0.55%"
"14-07-2025","1.1665","1.1682","1.1698","1.1650","","-0.21%"
"11-07-2025","1.1690","1.1701","1.1715","1.1665","","-0.09%"
"10-07-2025","1.1700","1.1721","1.1750","1.1662","","-0.18%"
"09-07-2025","1.1721","1.1726","1.1730","1.1690","","-0.04%"
"08-07-2025","1.1726","1.1710","1.1766","1.1683","","0.15%"
"07-07-2025","1.1709","1.1779","1.1791","1.1687","","-0.59%"
"04-07-2025","1.1779","1.1757","1.1788","1.1753","","0.19%"
"03-07-2025","1.1757","1.1799","1.1811","1.1718","","-0.36%"
"02-07-2025","1.1799","1.1803","1.1811","1.1747","","-0.07%"
"01-07-2025","1.1807","1.1787","1.1831","1.1761","","0.17%"
"30-06-2025","1.1787","1.1720","1.1789","1.1705","","0.57%"
"27-06-2025","1.1720","1.1696","1.1755","1.1681","","0.17%"
"26-06-2025","1.1700","1.1659","1.1745","1.1654","","0.34%"
"25-06-2025","1.1660","1.1610","1.1666","1.1590","","0.43%"
"24-06-2025","1.1610","1.1577","1.1642","1.1574","","0.28%"
"23-06-2025","1.1578","1.1481","1.1582","1.1452","","0.48%"
"20-06-2025","1.1523","1.1495","1.1544","1.1490","","0.24%"
"19-06-2025","1.1495","1.1484","1.1500","1.1446","","0.12%"
"18-06-2025","1.1481","1.1481","1.1530","1.1461","","0.00%"
"17-06-2025","1.1481","1.1567","1.1578","1.1475","","-0.70%"
"16-06-2025","1.1562","1.1537","1.1615","1.1523","","0.08%"
"13-06-2025","1.1553","1.1582","1.1615","1.1489","","-0.28%"
"12-06-2025","1.1585","1.1492","1.1632","1.1485","","0.84%"
"11-06-2025","1.1488","1.1427","1.1500","1.1405","","0.55%"
"10-06-2025","1.1425","1.1423","1.1449","1.1373","","0.04%"
"09-06-2025","1.1421","1.1400","1.1439","1.1386","","0.23%"
"06-06-2025","1.1395","1.1445","1.1458","1.1370","","-0.44%"
"05-06-2025","1.1445","1.1418","1.1496","1.1404","","0.24%"
"04-06-2025","1.1418","1.1374","1.1435","1.1357","","0.40%"
"03-06-2025","1.1372","1.1441","1.1456","1.1364","","-0.61%"
"02-06-2025","1.1442","1.1343","1.1451","1.1343","","0.83%"
"30-05-2025","1.1348","1.1366","1.1391","1.1313","","-0.21%"
"29-05-2025","1.1372","1.1296","1.1385","1.1210","","0.70%"
"28-05-2025","1.1293","1.1329","1.1346","1.1283","","-0.32%"
"27-05-2025","1.1329","1.1388","1.1408","1.1323","","-0.52%"
"26-05-2025","1.1388","1.1366","1.1419","1.1360","","0.20%"
"23-05-2025","1.1365","1.1281","1.1376","1.1279","","0.74%"
"22-05-2025","1.1281","1.1332","1.1346","1.1255","","-0.44%"
"21-05-2025","1.1331","1.1283","1.1363","1.1280","","0.43%"
"20-05-2025","1.1283","1.1238","1.1287","1.1218","","0.35%"
"19-05-2025","1.1244","1.1170","1.1289","1.1170","","0.72%"
"16-05-2025","1.1164","1.1189","1.1220","1.1130","","-0.22%"
"15-05-2025","1.1189","1.1177","1.1229","1.1170","","0.13%"
"14-05-2025","1.1175","1.1185","1.1266","1.1165","","-0.10%"
"13-05-2025","1.1186","1.1086","1.1195","1.1084","","0.88%"
"12-05-2025","1.1088","1.1219","1.1244","1.1065","","-1.42%"
"09-05-2025","1.1248","1.1228","1.1293","1.1196","","0.18%"
"08-05-2025","1.1228","1.1301","1.1337","1.1212","","-0.64%"
"07-05-2025","1.1300","1.1370","1.1379","1.1292","","-0.62%"
"06-05-2025","1.1370","1.1315","1.1382","1.1280","","0.49%"
"05-05-2025","1.1315","1.1319","1.1365","1.1292","","0.17%"
"02-05-2025","1.1296","1.1288","1.1381","1.1273","","0.04%"
"01-05-2025","1.1292","1.1329","1.1342","1.1266","","-0.33%"
"30-04-2025","1.1329","1.1386","1.1400","1.1317","","-0.50%"
"29-04-2025","1.1386","1.1422","1.1423","1.1370","","-0.32%"
"28-04-2025","1.1422","1.1375","1.1425","1.1329","","0.50%"
"25-04-2025","1.1365","1.1389","1.1395","1.1315","","-0.21%"
"24-04-2025","1.1389","1.1315","1.1399","1.1313","","0.65%"
"23-04-2025","1.1315","1.1422","1.1441","1.1308","","-0.92%"
"22-04-2025","1.1420","1.1515","1.1548","1.1417","","-0.81%"
"21-04-2025","1.1513","1.1385","1.1574","1.1388","","1.07%"
"18-04-2025","1.1391","1.1367","1.1399","1.1358","","0.25%"
"17-04-2025","1.1363","1.1395","1.1410","1.1336","","-0.31%"
"16-04-2025","1.1398","1.1283","1.1413","1.1281","","1.04%"
"15-04-2025","1.1281","1.1349","1.1379","1.1264","","-0.60%"
"14-04-2025","1.1349","1.1313","1.1425","1.1282","","-0.10%"
"11-04-2025","1.1360","1.1202","1.1475","1.1189","","1.46%"
"10-04-2025","1.1197","1.0951","1.1242","1.0943","","2.25%"
"09-04-2025","1.0951","1.0959","1.1096","1.0913","","-0.05%"
"08-04-2025","1.0956","1.0905","1.0993","1.0888","","0.48%"
"07-04-2025","1.0904","1.0946","1.1051","1.0883","","-0.47%"
"04-04-2025","1.0955","1.1052","1.1109","1.0924","","-0.86%"
"03-04-2025","1.1050","1.0856","1.1146","1.0805","","1.80%"
"02-04-2025","1.0855","1.0793","1.0925","1.0780","","0.57%"
"01-04-2025","1.0793","1.0818","1.0831","1.0778","","-0.22%"
"31-03-2025","1.0817","1.0822","1.0850","1.0784","","-0.09%"
"28-03-2025","1.0827","1.0802","1.0845","1.0764","","0.24%"
"27-03-2025","1.0801","1.0753","1.0822","1.0732","","0.46%"
"26-03-2025","1.0752","1.0791","1.0803","1.0744","","-0.36%"
"25-03-2025","1.0791","1.0802","1.0831","1.0776","","-0.08%"
"24-03-2025","1.0800","1.0808","1.0859","1.0781","","-0.13%"
"21-03-2025","1.0814","1.0852","1.0862","1.0797","","-0.34%"
"20-03-2025","1.0851","1.0903","1.0918","1.0815","","-0.46%"
"19-03-2025","1.0901","1.0945","1.0947","1.0861","","-0.38%"
"18-03-2025","1.0943","1.0923","1.0956","1.0892","","0.20%"
"17-03-2025","1.0921","1.0877","1.0930","1.0868","","0.39%"
"14-03-2025","1.0879","1.0852","1.0913","1.0830","","0.25%"
"13-03-2025","1.0852","1.0888","1.0898","1.0822","","-0.31%"
"12-03-2025","1.0886","1.0920","1.0932","1.0875","","-0.29%"
"11-03-2025","1.0918","1.0834","1.0947","1.0829","","0.79%"
"10-03-2025","1.0832","1.0835","1.0875","1.0805","","0.00%"
"07-03-2025","1.0832","1.0784","1.0890","1.0781","","0.45%"
"06-03-2025","1.0783","1.0791","1.0854","1.0765","","-0.06%"
"05-03-2025","1.0790","1.0627","1.0797","1.0602","","1.56%"
"04-03-2025","1.0624","1.0488","1.0628","1.0471","","1.32%"
"03-03-2025","1.0486","1.0382","1.0504","1.0381","","1.07%"
"28-02-2025","1.0375","1.0399","1.0421","1.0360","","-0.21%"
"27-02-2025","1.0397","1.0484","1.0494","1.0397","","-0.82%"
"26-02-2025","1.0483","1.0514","1.0529","1.0475","","-0.29%"
"25-02-2025","1.0513","1.0468","1.0520","1.0456","","0.45%"
"24-02-2025","1.0466","1.0493","1.0529","1.0453","","0.08%"
"21-02-2025","1.0458","1.0501","1.0507","1.0448","","-0.40%"
"20-02-2025","1.0500","1.0422","1.0504","1.0418","","0.76%"
"19-02-2025","1.0421","1.0443","1.0462","1.0401","","-0.23%"
"18-02-2025","1.0445","1.0484","1.0488","1.0435","","-0.35%"
"17-02-2025","1.0482","1.0489","1.0507","1.0467","","-0.09%"
"14-02-2025","1.0491","1.0465","1.0515","1.0446","","0.26%"
"13-02-2025","1.0464","1.0387","1.0467","1.0373","","0.79%"
"12-02-2025","1.0382","1.0361","1.0430","1.0317","","0.21%"
"11-02-2025","1.0360","1.0307","1.0381","1.0292","","0.52%"
"10-02-2025","1.0306","1.0324","1.0337","1.0280","","-0.20%"
"07-02-2025","1.0327","1.0383","1.0412","1.0305","","-0.52%"
"06-02-2025","1.0381","1.0402","1.0406","1.0352","","-0.20%"
"05-02-2025","1.0402","1.0377","1.0444","1.0370","","0.24%"
"04-02-2025","1.0377","1.0345","1.0388","1.0272","","0.32%"
"03-02-2025","1.0344","1.0288","1.0350","1.0146","","-0.17%"
"31-01-2025","1.0362","1.0391","1.0435","1.0350","","-0.27%"
"30-01-2025","1.0390","1.0421","1.0468","1.0386","","-0.29%"
"29-01-2025","1.0420","1.0431","1.0444","1.0382","","-0.08%"
"28-01-2025","1.0428","1.0492","1.0495","1.0414","","-0.60%"
"27-01-2025","1.0491","1.0486","1.0534","1.0454","","-0.02%"
"24-01-2025","1.0493","1.0417","1.0523","1.0412","","0.75%"
"23-01-2025","1.0415","1.0408","1.0439","1.0372","","0.08%"
"22-01-2025","1.0407","1.0429","1.0458","1.0393","","-0.21%"
"21-01-2025","1.0429","1.0417","1.0436","1.0342","","0.14%"
"20-01-2025","1.0414","1.0276","1.0435","1.0266","","1.39%"
"17-01-2025","1.0271","1.0299","1.0331","1.0265","","-0.26%"
"16-01-2025","1.0298","1.0288","1.0315","1.0261","","0.09%"
